,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
869, ,, , , 
870, ,, , , 
871, ,, , , 
872,24,1.0, , , 
873, ,, , , 
874, ,, , , 
875,16,1.0,18,24,25
876, ,, , , 
877, ,, , , 
878,13,1.0, , , 
879, ,, , , 
880, ,, , , 
881, ,, , , 
882,19,1.0,19,25,26
883,13,2.0,18,20,20
884,34,2.0, , , 
885, ,, , , 
886,9,1.0,9,9,51
887, ,, , , 
888, ,, , , 
889,18,2.0,20,26,27
890, ,, , , 
891, ,, , , 
892, ,, , , 
893, ,, , , 
894, ,, , , 
895,18,1.0,18, , 
896, ,, , , 
897,20,1.0,20, , 
898,17,2.0,17, , 
899,17,1.0,19,24,25
900, ,, , , 
901, ,, , , 
902, ,, , , 
903, ,, , , 
904, ,, , , 
905,14,2.0,14, , 
906,14,1.0,14, , 
907, ,, , , 
908, ,, , , 
909,21,2.0,23,40,40
910,21,1.0,21, , 
911, ,, , , 
912,13,2.0,13, , 
913,14,2.0,14, , 
914, ,, , , 
915, ,, , , 
916, ,, , , 
917, ,, , , 
918, ,, , , 
919, ,, , , 
920,16,1.0,17,21,21
921,20,1.0,20, , 
922,18,1.0, , , 
923,13,1.0,18,23,24
924, ,, , , 
925,12,1.0,17,29,30
926,8,1.0,20, , 
927,10,1.0,14,28,28
928, ,, , , 
929,21,1.0,21,30,40
930, ,, , , 
931, ,, , , 
932, ,, , , 
933, ,, , , 
934,14,1.0,16,35,36
935, ,, , , 
936, ,, , , 
937, ,, , , 
938,18,1.0, , , 
939, ,, , , 
940, ,, , , 
941, ,, , , 
942,15,1.0,16,24,31
943, ,, , , 
944, ,, , , 
945, ,, , , 
946, ,, , , 
947, ,, , , 
948, ,, , , 
949, ,, , , 
950,19,1.0,19, , 
951, ,, , , 
952,18,2.0,18, , 
953, ,, , , 
954, ,, , , 
955, ,, , , 
956, ,, , , 
957,16,2.0,20, , 
958,17,1.0,19,37,38
959, ,, , , 
960, ,, , , 
961, ,, , , 
962, ,, , , 
963, ,, , , 
964,99,2.0,99, , 
965,23,1.0,26, , 
966,20,1.0,22,23,25
967, ,, , , 
968, ,, , , 
969, ,, , , 
970, ,, , , 
971, ,, , , 
972, ,, , , 
973,13,2.0,17,45,45
974,17,1.0,18, , 
975, ,, , , 
976,16,2.0,19, , 
977, ,, , , 
978,14,1.0,14,44,45
979,15,2.0,16,25,25
980, ,, , , 
981, ,, , , 
982,13,1.0,13,48,49
983, ,, , , 
984,12,1.0,16, , 
985, ,, , , 
986, ,, , , 
987,13,1.0,20,31,55
988,20,1.0,20, , 
989,16,1.0,16,55,55
990, ,, , , 
991, ,, , , 
992, ,, , , 
993, ,, , , 
994, ,, , , 
995,13,2.0,17, , 
996,20,1.0,20,32,33
997, ,, , , 
998,19,2.0,20,33,33
999, ,, , , 
1000, ,, , , 
1001, ,, , , 
1002, ,, , , 
1003,17,2.0,17, , 
1004,13,1.0,17,17,50
1005, ,, , , 
1006,15,2.0,16, , 
1007, ,, , , 
1008, ,, , , 
1009,8,2.0,19,19,19
1010, ,, , , 
1011, ,, , , 
1012, ,, , , 
1013, ,, , , 
1014, ,, , , 
1015, ,, , , 
1016, ,, , , 
1017, ,, , , 
1018,14,2.0,14, , 
1019, ,, , , 
1020,18,1.0,18, , 
1021,10,1.0,14,16,16
1022, ,, , , 
1023,19,1.0,19, , 
1024,15,1.0,17,18,18
1025, ,, , , 
1026,18,1.0, , , 
1027, ,, , , 
1028, ,, , , 
1029, ,, , , 
1030, ,, , , 
1031, ,, , , 
1032, ,, , , 
1033,19,2.0,19, , 
1034, ,, , , 
1035,16,1.0,16,21,22
1036,19,2.0,20, , 
1037, ,, , , 
